date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:25:13	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2007:30:37%20GMT	https://ismaelaql.repl.co/robots.txt		(from )
04:25:13	3596/3596	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202023%2007:30:37%20GMT	https://ismaelaql.repl.co/	C:/My%20Web%20Sites/Bio/ismaelaql.repl.co/index.html	(from )
04:25:13	4777/4777	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Apr%202023%2007:30:38%20GMT	https://ismaelaql.repl.co/style.css	C:/My%20Web%20Sites/Bio/ismaelaql.repl.co/style.css	(from https://ismaelaql.repl.co/)
04:25:14	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/Bio/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://ismaelaql.repl.co/)
04:25:14	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/Bio/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://ismaelaql.repl.co/)
04:25:14	13898/13898	---M--	200	added ('OK')	image/gif	date:Thu,%2012%20Jan%202023%2016:58:36%20GMT	https://media.discordapp.net/attachments/1047183007930400858/1063139951052599296/vip_yellow1.gif	C:/My%20Web%20Sites/Bio/media.discordapp.net/attachments/1047183007930400858/1063139951052599296/vip_yellow1.gif	(from https://ismaelaql.repl.co/)
04:25:15	195386/195386	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202023%2022:15:11%20GMT	https://cdn.discordapp.com/attachments/1025171737631019018/1085687670438633602/IMG_1490.jpg	C:/My%20Web%20Sites/Bio/cdn.discordapp.com/attachments/1025171737631019018/1085687670438633602/IMG_1490.jpg	(from https://ismaelaql.repl.co/)
04:25:15	6362/6362	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202022%2017:23:41%20GMT	https://cdn.discordapp.com/attachments/834196690705317949/1052637015843287203/activedev.png	C:/My%20Web%20Sites/Bio/cdn.discordapp.com/attachments/834196690705317949/1052637015843287203/activedev.png	(from https://ismaelaql.repl.co/)
04:25:16	8865/8865	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2001:01:54%20GMT	https://cdn.discordapp.com/attachments/1047183007930400858/1085729625822470184/Pink_Boost4CDL.png	C:/My%20Web%20Sites/Bio/cdn.discordapp.com/attachments/1047183007930400858/1085729625822470184/Pink_Boost4CDL.png	(from https://ismaelaql.repl.co/)
04:25:16	237922/237922	---M--	200	added ('OK')	image/gif	date:Sat,%2015%20Apr%202023%2007:30:39%20GMT	https://ismaelaql.repl.co/cpd2.gif	C:/My%20Web%20Sites/Bio/ismaelaql.repl.co/cpd2.gif	(from https://ismaelaql.repl.co/)
